Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2400492,28-Aug-22,Arizona,Phoenix,21636 N 26th Ave,3,5,N/A
2399755,28-Aug-22,Texas,Houston,8021 Dunlap St,4,2,N/A
2399576,27-Aug-22,New York,Brooklyn,W 29th St and Boardwalk W,1,4,N/A
2399000,27-Aug-22,Washington,Spokane,302 W Queen Ave,1,3,N/A
2398877,27-Aug-22,Kentucky,Lexington,207 Legends Ln,0,7,N/A
2398004,25-Aug-22,Kentucky,Henderson,804 Clay St,2,2,N/A
2397504,25-Aug-22,Washington,Spokane,701 N Chestnut St,0,4,N/A
2398118,25-Aug-22,Alabama,Birmingham,8th St W and Finley Blvd,1,3,N/A
2396803,24-Aug-22,Illinois,Chicago,3591 N Milwaukee Ave,0,4,N/A
2396536,24-Aug-22,District of Columbia,Washington,27 O Street NW,2,3,N/A
2396567,24-Aug-22,Maryland,Baltimore,Park Heights Ave and Shirley Ave,1,6,N/A
2397033,24-Aug-22,Wisconsin,Milwaukee,2622 N 22nd St,1,3,N/A
2396124,23-Aug-22,Pennsylvania,Philadelphia,N 60th St and Race St,2,2,N/A
2393758,21-Aug-22,Tennessee,Memphis,I-240 and Norris Rd,1,3,N/A
2394159,21-Aug-22,California,San Francisco,Mission St and 19th St,1,3,N/A
2393474,20-Aug-22,Delaware,Wilmington,Tatnall St and W 27th St,0,4,N/A
2393051,20-Aug-22,North Carolina,Asheville,11 Grove St,0,4,N/A
2392698,20-Aug-22,Illinois,Chicago,6200 block of S Michigan Ave,0,5,N/A
2392494,19-Aug-22,Illinois,Chicago,3300 block of W Flournoy St,1,4,N/A
2391779,19-Aug-22,Illinois,Chicago,5200 block of S Green St,0,4,N/A
2391353,18-Aug-22,Virginia,Norfolk,7433 Fenner St,3,2,N/A
2390519,17-Aug-22,Illinois,Chicago,7321 S Union Ave,0,4,N/A
2391042,17-Aug-22,Pennsylvania,Philadelphia,2800 block of Bonsal St,0,4,N/A
2398608,16-Aug-22,Michigan,Paw Paw,126 E Michigan Ave,0,4,N/A
2389775,16-Aug-22,Pennsylvania,Philadelphia,5700 Haverford Ave,0,5,N/A
2388884,16-Aug-22,Tennessee,Memphis,Austin Peay Hwy and New Covington Pike,0,6,N/A
2386954,14-Aug-22,Arizona,Phoenix,4601 E Granada Rd,1,4,N/A
2386871,14-Aug-22,Illinois,Chicago,1800 block of W 78th St,1,4,N/A
2386878,14-Aug-22,Maryland,Baltimore,5100 block of Harford Rd,1,3,N/A
2388144,13-Aug-22,Ohio,Cleveland,7500 block of Bessemer Ave,1,4,N/A
2386032,13-Aug-22,North Carolina,Raleigh,2414 Paula St,0,6,N/A
2387010,13-Aug-22,Georgia,Atlanta (College Park),5420 Riverdale Rd,1,4,N/A
2386151,13-Aug-22,Washington,Renton,1501 Orcas Ave,0,4,N/A
2385846,12-Aug-22,Missouri,Saint Louis,5166 Dr Martin Luther King Dr,1,3,N/A
2385789,12-Aug-22,Pennsylvania,Philadelphia,5300 block of Charles St,0,4,N/A
2383958,10-Aug-22,Mississippi,Winona,613 Powell St,1,3,N/A
2382827,8-Aug-22,Virginia,Richmond,3100 Carolina Ave,0,4,N/A
2381321,7-Aug-22,Georgia,Atlanta,477 Windsor St SW,2,4,N/A
2380747,7-Aug-22,Ohio,Cincinnati,1323 Main St,0,9,N/A
2381371,7-Aug-22,Pennsylvania,Pittsburgh,1700 block of Brighton Pl,1,3,N/A
2381000,7-Aug-22,Alabama,Birmingham,800 block of 2nd Ave N,1,4,N/A
2380361,6-Aug-22,Michigan,Detroit,Saratoga St and Gratiot Ave,1,4,N/A
2380869,6-Aug-22,Michigan,Detroit,19000 block of Andover St,1,6,N/A
2380783,6-Aug-22,Pennsylvania,Duquesne,Orchard Park Ave and Ridge St,0,4,N/A
2379316,5-Aug-22,Virginia,Norfolk,216 E Plume St,0,4,N/A
2379499,5-Aug-22,Ohio,Dayton,7120 Hardwicke Pl,4,0,N/A
2380017,5-Aug-22,Wisconsin,Milwaukee,N 91st St and W Allyn St,0,4,N/A
2378851,4-Aug-22,Tennessee,Nashville,371 Hickory Trace Dr,1,3,N/A
2379020,4-Aug-22,Nebraska,Laurel,503 Elm St,4,0,N/A
2377855,3-Aug-22,California,Panorama City,Parthenia St and Tobias Ave,1,4,N/A
2377529,3-Aug-22,Florida,Miami,10000 SW 173rd Terrace,0,5,N/A
2376380,2-Aug-22,New York,Albany,Central Ave and Lexington Ave,0,5,N/A
2377338,2-Aug-22,Florida,Orlando,9873 Lake District Ln,5,0,N/A
2376028,1-Aug-22,Ohio,Columbus,176 Rumsey Rd,2,3,N/A
2375725,1-Aug-22,California,Paramount,13801 Paramount Blvd,1,3,N/A
2375886,1-Aug-22,District of Columbia,Washington,444 16th St NE,1,5,N/A
2374750,31-Jul-22,Indiana,South Bend,St Joseph St and Milton St,0,4,N/A
2374430,31-Jul-22,Florida,Orlando,Wall St and S Orange Ave,0,7,N/A
2374401,31-Jul-22,Indiana,Indianapolis,Broad Ripple Ave and Guilford Ave,0,4,N/A
2374337,31-Jul-22,Michigan,Detroit,11637 Coyle St,2,6,N/A
2374990,31-Jul-22,Illinois,Decatur,2874 N Dinneen St,1,3,N/A
2375097,31-Jul-22,Connecticut,Hartford,1994 Main St,0,4,N/A
2373692,30-Jul-22,Illinois,Wheeling,800 block of Fletcher Dr,0,5,N/A
2373924,30-Jul-22,Louisiana,Monroe,2000 block of Peach St,1,3,N/A
2373859,30-Jul-22,Georgia,Girard,232 Claxton Rd,1,4,N/A
2373050,29-Jul-22,Maryland,Baltimore,3100 block of W North Ave,2,2,N/A
2373646,29-Jul-22,New Mexico,Albuquerque,4303 Estancia Dr NW,1,4,N/A
2373607,29-Jul-22,Ohio,Cleveland,E 154th St and Harvard Ave,1,3,N/A
2373111,29-Jul-22,Florida,Miami,10875 SW 216th St,0,4,N/A
2370760,27-Jul-22,Georgia,Macon,624 Forest Hill Rd,2,2,N/A
2371416,27-Jul-22,Louisiana,Hahnville,300 block of Sycamore St,1,3,N/A
2369720,25-Jul-22,Louisiana,New Orleans,2000 block of Saint Andrew St,0,4,N/A
2368110,24-Jul-22,South Carolina,Bennettsville,614 Hwy 15-401 Bypass E,1,3,N/A
2368575,24-Jul-22,California,San Pedro,560 N Western Ave,2,6,N/A
2368029,24-Jul-22,Georgia,Atlanta,1695 Northside Dr NW,0,8,N/A
2368308,24-Jul-22,Texas,Fort Worth,2350 S Riverside Dr,1,3,N/A
2367984,23-Jul-22,Virginia,Richmond,2220 Broad Rock Blvd,0,5,N/A
2367664,23-Jul-22,Texas,El Paso,14100 block of Honey Point Dr,0,4,N/A
2367289,23-Jul-22,North Carolina,Pinebluff,212 Primrose Path,1,4,N/A
2367157,23-Jul-22,Illinois,Rockford,1401 N 2nd St,2,2,N/A
2367193,23-Jul-22,Washington,Renton,100 block of Logan Ave S,1,6,N/A
2368018,23-Jul-22,Illinois,Chicago,5400 block of S Paulina St,0,4,N/A
2367176,23-Jul-22,Illinois,Chicago,2700 block of W Jackson Blvd,0,4,N/A
2367972,23-Jul-22,Michigan,Kalamazoo,1300 block of N Church St,0,9,N/A
2366273,21-Jul-22,California,Los Angeles,210 W 7th St,0,5,N/A
2363589,19-Jul-22,Nebraska,Lincoln,2835 T St,0,4,N/A
2362912,18-Jul-22,Georgia,Atlanta,440 Thomasvillle Blvd,0,5,N/A
2362595,17-Jul-22,Washington,Mount Vernon,2301 Freeway Dr,0,5,N/A
2362141,17-Jul-22,New York,Brooklyn,265 Livonia Ave,0,4,N/A
2361849,17-Jul-22,Michigan,Detroit,N/A,0,4,N/A
2362011,17-Jul-22,Indiana,Greenwood,1251 US Hwy 31 N,4,2,N/A
2362215,17-Jul-22,Indiana,Beech Grove,1100 S 9th Ave,1,3,N/A
2361609,17-Jul-22,Michigan,Grand Rapids,77 Cesar E Chavez Ave SW,0,4,N/A
2361654,17-Jul-22,Georgia,Milledgeville,Leo Ct and Nobles Ct,0,5,N/A
2362282,17-Jul-22,New Jersey,Newark,751 Broadway,0,4,N/A
2362562,17-Jul-22,Washington,Vancouver,E 11th St and E McLoughlin Blvd,2,2,N/A
2361532,16-Jul-22,District of Columbia,Washington,200 block of Adams St NE,1,3,N/A
2360953,16-Jul-22,Ohio,Columbus,3475 Sullivant Ave,2,2,N/A
2361097,16-Jul-22,South Carolina,North Charleston,8440 Dorchester Rd,0,4,N/A
2361614,16-Jul-22,Texas,Houston,2331 Bammelwood Dr,4,0,N/A
2362355,16-Jul-22,Louisiana,Monroe,2200 block of Adams St,0,5,N/A
2361490,16-Jul-22,Pennsylvania,Philadelphia,1300 block of E Luzerne St,0,4,N/A
2359843,14-Jul-22,Illinois,Chicago,4400 block of W Maypole St,0,4,N/A
2359229,14-Jul-22,Pennsylvania,Philadelphia,1901 Spring Garden St,0,4,N/A
2358938,13-Jul-22,Pennsylvania,Philadelphia,Wyalusing Ave and N Creighton St,0,4,N/A
2358861,13-Jul-22,Indiana,Indianapolis,3629 Merrick Way,1,3,N/A
2358856,13-Jul-22,Minnesota,Minneapolis,1818 Lowry Ave N,0,4,N/A
2358329,12-Jul-22,Massachusetts,Boston,39 Warren St,0,4,N/A
2358053,11-Jul-22,Mississippi,Jackson,Fairway St and Suncrest Dr,0,4,N/A
2356705,10-Jul-22,Illinois,Crest Hill,1828 Knapp Dr,1,4,N/A
2355580,10-Jul-22,California,Downey,8100 block of Leeds St,3,2,N/A
2356813,10-Jul-22,Texas,Alvin,1500 block of County Road 149,1,3,N/A
2355438,10-Jul-22,Illinois,Chicago,448 N State St,0,4,N/A
2356327,10-Jul-22,Missouri,Kansas City,4128 Broadway Blvd,1,5,N/A
2355398,10-Jul-22,New York,Brooklyn,Boardwalk and W 21st St,0,5,N/A
2355962,9-Jul-22,Alabama,Jacksons Gap,Manoy Dr,0,4,N/A
2354111,8-Jul-22,North Carolina,Greensboro,1200 block of Fairview St,0,4,N/A
2354825,8-Jul-22,Michigan,Detroit,3400 block of 2nd Ave,0,4,N/A
2353847,7-Jul-22,Illinois,Chicago,2800 block of W Polk St,0,4,N/A
2352780,6-Jul-22,Florida,Tampa,Courtland St N and Chelsea St E,0,4,N/A
2352444,6-Jul-22,Illinois,Chicago,1820 W Maypole Ave,0,4,N/A
2352349,6-Jul-22,Minnesota,Saint Cloud,Sixth Ave S and 11th St S,0,4,N/A
2352342,5-Jul-22,Ohio,Steubenville,601 South St,0,4,N/A
2349853,5-Jul-22,Indiana,Gary,1900 block of Missouri St,3,7,N/A
2349723,5-Jul-22,New York,Rochester,485 N Clinton Ave,1,3,N/A
2348163,4-Jul-22,Massachusetts,Boston,Dorchester Ave and Bailey St,0,4,N/A
2350033,4-Jul-22,Minnesota,Minneapolis,724 Sibley St NE,0,7,N/A
2349746,4-Jul-22,Wisconsin,Kenosha,6321 25th Ave,1,4,N/A
2348230,4-Jul-22,California,Sacramento,1525 L St,1,4,N/A
2348384,4-Jul-22,Illinois,Highland Park,Central Ave and 2nd St,8,29,N/A
2348750,4-Jul-22,Missouri,Kansas City,E 13th St and Grand Blvd,0,4,N/A
2349545,4-Jul-22,Colorado,Denver,2100 block of W Pacific Pl,1,3,N/A
2349758,4-Jul-22,New York,Corona (Queens),171st St and 137th Ave,0,4,N/A
2348204,4-Jul-22,Illinois,Chicago,6500 block of S Martin Luther King Dr,0,5,N/A
2348167,4-Jul-22,Virginia,Richmond,10 block of W Broad St,0,6,N/A
2348191,3-Jul-22,Virginia,Manassas,8129 Sudley Rd,0,4,N/A
2347373,3-Jul-22,South Carolina,Mullins,Leroy Bethea St and Jennings Rd,0,4,N/A
2348303,3-Jul-22,Arizona,Surprise,W Carlin Dr,3,4,N/A
2348263,3-Jul-22,Washington,Tacoma,3300 block of S Asotin St,0,4,N/A
2347060,2-Jul-22,Texas,Haltom City,5700 block of Diamond Oaks Dr N,3,4,N/A
2347228,2-Jul-22,New York,Corona (Queens),129-09 89th Ave,1,3,N/A
2347297,2-Jul-22,North Carolina,Clinton,506 Stetson St,0,6,N/A
2346422,1-Jul-22,Illinois,Chicago,3800 block of W Monroe St,0,4,N/A
2346406,1-Jul-22,Mississippi,Greenwood,Johnson St and Main St,1,7,N/A
2345410,1-Jul-22,Illinois,Chicago,408 S Wells St,2,3,N/A
2345144,30-Jun-22,Kentucky,Allen,49 N Railroad St,3,5,N/A
2344954,30-Jun-22,New Jersey,Newark,291 Clinton Pl,0,9,N/A
2344008,29-Jun-22,New Jersey,Jersey City,166 Bayview Ave,0,4,N/A
2344201,29-Jun-22,Pennsylvania,Philadelphia,1100 block of E Price St,0,4,N/A
2341725,27-Jun-22,North Carolina,Charlotte,2000 block of Holly St,0,5,N/A
2340458,26-Jun-22,Georgia,Blakely,N Church St and Washington Ave,1,6,N/A
2340720,26-Jun-22,Virginia,Sutherlin,1220 Kerns Church Rd,1,7,N/A
2340685,26-Jun-22,New Jersey,Paterson,Madison St and Essex St,0,5,N/A
2340473,26-Jun-22,Texas,San Antonio,3805 Blanco Rd,1,3,N/A
2340696,26-Jun-22,Texas,Winona,18005 FM 2767,0,5,N/A
2340409,26-Jun-22,Washington,Tacoma,5415 S Tacoma Way,0,8,N/A
2340297,25-Jun-22,New York,Brooklyn,690 Quincy St,0,4,N/A
2339761,25-Jun-22,Texas,Houston,4207 Madden St,2,2,N/A
2340347,25-Jun-22,Minnesota,Minneapolis,SE Main St and 6th Ave SE,0,4,N/A
2339866,24-Jun-22,Virginia,Hopewell,Elm St and Arlington Rd,2,2,N/A
2338874,24-Jun-22,Pennsylvania,Philadelphia,S Bucknell St and Oakford St,2,2,N/A
2338902,23-Jun-22,Illinois,Chicago,7900 block of S Lafayette Ave,1,3,N/A
2335052,20-Jun-22,New York,New York (Manhattan),5th Ave and W 139th St,1,8,N/A
2335872,20-Jun-22,New York,Staten Island,Taft Ave and Westervelt Ave,0,5,N/A
2334920,19-Jun-22,District of Columbia,Washington,14th St and U St NW,1,3,N/A
2334936,19-Jun-22,Michigan,Detroit,18501 Healy St,1,3,N/A
2334374,19-Jun-22,Michigan,Grand Rapids,Griggs St SE and Division St,0,4,N/A
2334512,19-Jun-22,Florida,Miami,US-1 and SW 22nd Ave,0,5,N/A
2334620,19-Jun-22,South Carolina,Walterboro,1109 Rivers St,2,2,N/A
2334359,18-Jun-22,Texas,San Antonio,2500 block of Patron Dr,2,5,N/A
2333675,18-Jun-22,Florida,Pensacola,15 E Intendencia St,0,5,N/A
2334096,17-Jun-22,Maryland,Baltimore,1800 block of W Lafayette Ave,0,4,N/A
2333667,17-Jun-22,Illinois,Chicago,3000 block of S Rhodes Ave,0,5,N/A
2333154,16-Jun-22,California,Oakland,316 14th St,1,4,N/A
2328374,12-Jun-22,California,Los Angeles,3300 block of E 14th St,3,4,N/A
2328532,12-Jun-22,Michigan,Roseville,27000 block of Kelly St,0,4,N/A
2328265,12-Jun-22,Indiana,Gary,1700 Grant St,2,4,N/A
2328215,12-Jun-22,Indiana,Indianapolis,9200 block of Sussex Ter,0,5,N/A
2328117,12-Jun-22,Louisiana,New Orleans,3940 Tulane Ave,0,4,N/A
2328342,12-Jun-22,Colorado,Denver,4600 block of Colorado Ave,2,4,N/A
2360288,11-Jun-22,New Mexico,Alamogordo,N/A,0,5,N/A
2327598,11-Jun-22,Michigan,Detroit,13500 block of Cloverlawn Ave,0,4,N/A
2327645,11-Jun-22,Illinois,Chicago,8600 block of S Damen Ave,1,4,N/A
2328482,11-Jun-22,Georgia,Atlanta (College Park),6500 block of Woodford Rd,0,7,N/A
2328108,11-Jun-22,Tennessee,Antioch,660 Bell Rd,2,2,N/A
2327991,11-Jun-22,Kentucky,Louisville,1101 River Rd,0,6,N/A
2327247,10-Jun-22,Georgia,Decatur,2801 Candler Rd,1,3,N/A
2325498,9-Jun-22,Maryland,Smithsburg,12912 Bikle Rd,3,3,N/A
2325328,8-Jun-22,Arizona,Yuma,1500 block of S 4th Ave,0,4,N/A
2323642,7-Jun-22,Virginia,Portsmouth,1628 Maple Ave,4,0,N/A
2324475,7-Jun-22,Illinois,Chicago,1223 S Lawndale Ave,0,4,N/A
2324435,7-Jun-22,Maryland,Baltimore,5500 block of Plainfield Ave,2,2,N/A
2324496,7-Jun-22,Illinois,Chicago,13000 block of S Champlain Ave,0,4,N/A
2321440,5-Jun-22,Arizona,Mesa,1457 W Southern Ave,2,2,N/A
2321532,5-Jun-22,Tennessee,Chattanooga,2125 McCallie Ave,2,12,N/A
2322804,5-Jun-22,South Carolina,Andrews,County Line Rd,0,5,N/A
2321693,5-Jun-22,Michigan,Grand Rapids,Pearl St NW and Ottawa Ave NW,1,3,N/A
2321772,5-Jun-22,Michigan,Saginaw,300 block of S 11th St,3,2,N/A
2321193,4-Jun-22,Michigan,Ecorse,3800 block of W Jefferson Ave,0,4,N/A
2321593,4-Jun-22,South Carolina,Summerton,4193 St Paul Rd,1,7,N/A
2321500,4-Jun-22,Georgia,Macon,300 Block of Jones Ave,2,2,N/A
2320673,4-Jun-22,Texas,El Paso (Socorro),10851 Thunder Rd,0,5,N/A
2321266,4-Jun-22,Pennsylvania,Philadelphia,200 block of South St,3,11,N/A
2320618,4-Jun-22,Arizona,Phoenix,N 10th Ave and W Hatcher Rd,1,8,N/A
2321698,4-Jun-22,New York,Hempstead,77 Terrace Ave,1,3,N/A
2320862,3-Jun-22,Nebraska,Omaha,2931 T St,1,3,N/A
2320361,3-Jun-22,Virginia,Chester,10960 block of Stepney Rd,1,5,N/A
2319567,2-Jun-22,Texas,Centerville,1696 TX-7 W,6,0,N/A
2318310,1-Jun-22,Oklahoma,Tulsa,6161 S Yale Ave,5,0,N/A
2318046,31-May-22,Texas,Waco,1900 block of Preston St,0,4,N/A
2316616,30-May-22,Michigan,Benton Harbor,999 Pipestone St,1,6,N/A
2317016,30-May-22,South Carolina,Charleston,America St and South St,0,9,N/A
2315903,30-May-22,Pennsylvania,Philadelphia,N Delaware Ave and E Tioga St,2,2,N/A
2315150,29-May-22,Oklahoma,Taft,104 Elm St,1,7,N/A
2315892,29-May-22,Illinois,Chicago,4400 block of W Walton St,1,4,N/A
2316364,29-May-22,Texas,Houston,11654 Walnut Dale Ct,0,4,N/A
2315074,29-May-22,Illinois,Chicago,800 block of S Karlov Ave,0,5,N/A
2315605,29-May-22,Arizona,Phoenix,N 58th St and W Windsor Ave,1,5,N/A
2315361,29-May-22,Nevada,Henderson,I-11 and Horizon Dr,0,7,N/A
2314991,28-May-22,Tennessee,Chattanooga,100 block of Cherry St,0,6,N/A
2315338,28-May-22,California,Fresno,2233 N 1st St,1,3,N/A
2315417,28-May-22,Florida,Malabar,2500 block of Billie Ln,0,4,N/A
2315190,28-May-22,Colorado,Colorado Springs,3800 block of E Pikes Pike Ave,1,3,N/A
2315333,28-May-22,California,Merced,2600 block of Cowden Ave,1,3,N/A
2314951,28-May-22,Tennessee,Memphis,Chelsea Ave and Peres Ave,0,4,N/A
2313988,27-May-22,Alabama,Anniston,1204 Front St,0,6,N/A
2313970,27-May-22,Michigan,Stanwood,10711 185th Ave,4,1,N/A
2312678,25-May-22,Pennsylvania,Philadelphia,3500 block of Fairmount Ave,0,4,N/A
2310278,24-May-22,Texas,Uvalde,715 Old Carrizo Rd,22,17,N/A
2309711,23-May-22,South Carolina,North Charleston,7550 Dorchester Rd,0,5,N/A
2311123,23-May-22,Ohio,Cleveland,1032 Hartley Rd,0,5,N/A
2308096,21-May-22,Indiana,Goshen,1204 Rosemare Ct,2,3,N/A
2308395,21-May-22,Washington,Tacoma,S Yakima Ave and S 56th St,0,4,N/A
2307631,20-May-22,Florida,Kissimmee,2331 Old Dixie Hwy,1,3,N/A
2307813,20-May-22,Louisiana,New Orleans,St. Claude Ave and Forstall St,1,3,N/A
2308017,20-May-22,California,Highland,3606 Highland Ave,1,8,N/A
2307044,19-May-22,Illinois,Chicago,800 block of N State St,2,7,N/A
2306277,18-May-22,Pennsylvania,Philadelphia,1500 block of Bouvier St,0,5,N/A
2305208,17-May-22,California,Palo Alto (East Palo Alto),2500 block of Fordham St,1,3,N/A
2302847,15-May-22,California,Laguna Woods,24301 El Toro Rd,1,5,N/A
2303130,15-May-22,North Carolina,Winston Salem (Winston-salem),2000 block of 25th St,0,7,N/A
2304029,15-May-22,North Carolina,Elizabeth City,901 S Martin Luther King Jr Dr,0,4,N/A
2302740,15-May-22,Texas,Houston,8729 Airline Dr,2,3,N/A
2303337,15-May-22,Texas,Amarillo,1003 N Fillmore St,1,4,N/A
2301751,14-May-22,New York,Buffalo,1275 Jefferson Ave,10,3,N/A
2301494,13-May-22,Wisconsin,Milwaukee,Water St and Juneau Ave,0,16,N/A
2354757,13-May-22,Louisiana,Napoleonville,N/A,0,5,N/A
2300713,12-May-22,Arkansas,Hot Springs National Park (Hot Springs),134 Convention Blvd,1,4,N/A
2299660,11-May-22,Illinois,Chicago,6800 block of S Ashland Ave,0,4,N/A
2299126,11-May-22,Indiana,Indianapolis,701 Canal Walk,0,5,N/A
2299793,11-May-22,Missouri,Saint Louis,5000 block of N Kingshighway Blvd,1,3,N/A
2300830,11-May-22,New Jersey,Paterson,36 Essex St,1,4,N/A
2298872,10-May-22,Maryland,Baltimore,2800 block of Boarman Ave,0,5,N/A
2298836,10-May-22,Illinois,Chicago,4800 block of S Ada St,1,4,N/A
2299407,10-May-22,Illinois,Chicago,6400 block of S Richards Dr,0,6,N/A
2298519,10-May-22,Pennsylvania,Philadelphia,Allegheny Ave and G St,0,4,N/A
2298591,10-May-22,Maryland,Baltimore,700 block of N Rose St,1,3,N/A
2299176,10-May-22,Texas,Brookshire,Purdy and 4th St,1,3,N/A
2297823,9-May-22,Michigan,Detroit,12600 block of McCoy Cir,0,4,N/A
2298092,9-May-22,Alabama,Tuscaloosa,4420 21st St,0,5,N/A
2297261,8-May-22,Georgia,Clarkston,6500 block of Old Hampton Dr,3,3,N/A
2296191,7-May-22,Kentucky,Lexington,1560 LaSalle Rd,2,3,N/A
2296224,7-May-22,Florida,Miami,NW 37th St and NW 32nd Ave,0,4,N/A
2296808,7-May-22,Texas,Garland,800 block of Magnolia Dr,2,2,N/A
2296037,6-May-22,Louisiana,New Orleans,4800 block of Alcee Fortier Blvd,2,4,N/A
2296064,5-May-22,Washington,Sunnyside,613 S 6th St,0,5,N/A
2293603,3-May-22,Louisiana,Baton Rouge,2100 block of North 39th St,0,5,N/A
2294515,3-May-22,Kansas,Cowley (county),N/A,0,4,N/A
2294477,3-May-22,Texas,Beaumont,3580 S Martin Luther King Jr Pkwy,0,5,N/A
